共计人数： 132
Jingdong Wang
Xilin Chen
Ling Shao
Tao Mei
Tao Li
Qiming Zhang
Siwei Lyu
Yingying Chen
Bo Li
Ming-Hsuan Yang
Tieniu Tan
Ming Wu
Tong Zhang
Weisi Lin
Jian Li
Jianfei Cai
Peng Wang
Yuan Xie
Yizhou Yu
Liang Wang
Jiebo Luo
Josiane Zerubia
Zhi-Hua Zhou
Michel Renovell
Bernt Schiele
Jun Li
Yiran Chen
Tingwen Huang
Xiuzhen Cheng
Subhasis Chaudhuri
Tao Zhang
Jia-Ming Liu
Cheng-Lin Liu
Bing Liu
Lorenzo Bruzzone
Yo-Ping Huang
Lei Zhang
Qing Wang
Yi Ma
Jun Zhang
Le Lu
Jian Chen
Shutao Li
Farid Melgani
Cong Wang
Yu Sun
Jianqing Wang
Xin Liu
Xin Zhang
Wei Lu
Pietro Perona
Jun Wang
Jie Yang
Yuhua Cheng
Chenming Hu
Ming-Syan Chen
Eugenio Cantatore
Jian Sun
Min Gu
Franco Zambonelli
Hui Li
Witold Pedrycz
Jie Liu
Deming Chen
Yun Fu
Bernd Girod
Ruzena Bajcsy
Yingli Tian
Henry Leung
Ping Zhou
Wenwu Zhu
Jing Xiao
Jie Chen
Yi Zhang
Xin Li
Fan Yang
Wenjun Zhang
Heng Tao Shen
Vittorio Murino
Michael Elad
Lei Chen
Pengfei Xia
Guang-Zhong Yang
Xiaorui Wang
Sheng Chen
Ping Zhang
Yu Wang
Xiaokang Yang
Yunhong Wang
Sheng Liu
Mark Sandler
Yi Wang
Yuan Wang
Jie Wu
Peng Li
Xian-Sheng Hua
Yonghong Tian
Sam Kwong
Fatih Porikli
Nam Ling
Ce Zhu
Guoying Zhao
Jenq-Neng Hwang
Gang Hua
Aidong Zhang
Jingyi Yu
Fei Wang
Ming Li
Qi Bi
Yefeng Zheng
Zheng Zhang
Hong Yan
Nuno Vasconcelos
Baoquan Chen
Guangming Shi
Mengjie Zhang
Keqin Li
Enrique Herrera-Viedma
Xiao-Ping Zhang
Sina Farsiu
Sun-Yuan Kung
Mauro Conti
Ping Li
Humberto Bustince
Bing Zeng
Shan Wang
Li Xu
Bin Jiang
Houqiang Li
Jiaya Jia
Shan Liu
Weijia Jia
